,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
15,"Eco Cabaña Pocahontas En Rio Santo Domingo, Hermano Del Melcocho","Información  
Wi-Fi gratis

Estacionamiento gratuito

Piscina

Se permiten mascotas

Cocina en todas las habitaciones

Gimnasio
 ",4.9,72.0,,,,,http://www.hospedajeriosantodomingomelcocho.com.co/,Comuna Villa Hermosa Hoteles,311 3727815 ,"Cañon Del Rio Santo Domingo, hermano del Rio Melcocho, Cocorná, Santa Cruz, Cocorná, Antioquia",5.9905587,-75.164312
16,Eco hotel Casa Maria Parda,"Información  
Wi-Fi gratis

Desayuno

Estacionamiento

Piscina

Aire acondicionado

Se permiten mascotas

Restaurante

Transporte desde/hacia el aeropuerto

Jacuzzi

Spa

Gimnasio

Bar
 ",4.9,54.0,,,,,https://casamariaparda.com/,Comuna Villa Hermosa Hoteles,312 6199128 ,"2RRQ+XV, Cocorná, Antioquia",6.0424472,-75.1602706
17,Hosteria La Medusa,"Información  
Wi-Fi gratis

Desayuno

Estacionamiento gratuito

Piscina al aire libre

Se permiten mascotas

Apto para niños

Restaurante

Gimnasio

Bar

Libre de humo
 ",4.4,205.0,,,,,https://cocorna.hosterialamedusa.com/hosteria-la-medusa-2,Comuna Villa Hermosa Hoteles,314 2490386 ,"Cl. 20, Cocorná, Antioquia",6.0598387,-75.1890504
18,Hotel Bayadera Real,"Información  
Wi-Fi gratis

Desayuno pago

Estacionamiento

Accesible

Piscina

Aire acondicionado

Se permiten mascotas

Restaurante

Transporte desde/hacia el aeropuerto

Gimnasio
 ",4.3,53.0,,,,,,Comuna Villa Hermosa Hoteles,301 1581118 ,"Cl. 40a #52-41, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.24165,-75.5731979
19,Ecohotel Tierra de Agua,"Información  
Wi-Fi gratis

Desayuno incluido

Estacionamiento gratuito

Piscina al aire libre

Se permiten mascotas

Apto para niños

Restaurante

Transporte desde/hacia el aeropuerto

Jacuzzi

Spa

Gimnasio
 ",4.6,516.0,,,,,http://www.tierradeagua.org/,Comuna Villa Hermosa Hoteles,301 7414199 ,"Unnamed Road,, Cocorná, Antioquia",6.0679559,-75.1862424
20,Parque Villa Hermosa,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.6,79.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Villa Hermosa Parques,,"Cl 66 #39A-66, Medellín, Villa Hermosa, Medellín, Antioquia",6.258808,-75.5521651
21,Parque Estación EL PINAL,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.5,167.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Villa Hermosa Parques,,"13 de Noviembre, Medellín, Villa Hermosa, Medellín, Antioquia",6.2455484,-75.5441396
22,Parque Recreativo la Estrechura,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños",5.0,1.0,,Parque,Accesible con silla de ruedas,"6 .,9 pm.",,Comuna Villa Hermosa Parques,,"Caicedo, Medellín, Villa Hermosa, Medellín, Antioquia",6.2383874,-75.5444169
23,Parque Ecológico Lago Los Patos,"Información  Actividades

Senderismo
    Menores

Ideal para ir con niños

Rutas de senderismo adecuadas para niños
    Mascotas

Se permiten perros",4.2,909.0,,Parque,,"6 .,None",,Comuna Villa Hermosa Parques,,"Medellín, Villa Hermosa, Medellín, Antioquia",6.260637,-75.5456632
24,Parque Morgan - La ladera,"Información  Menores

Ideal para ir con niños",,,,Parque,,"9 .,6 .",,Comuna Villa Hermosa Parques,,"Villa Hermosa, Cl 59A #36-19, Medellín, Villa Hermosa, Medellín, Antioquia",6.2503354,-75.5533101
25,Parque ElPinal,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños",4.8,4.0,,Parque,Accesible con silla de ruedas,"9 .,12 pm.",,Comuna Villa Hermosa Parques,,"Medellín, Villa Hermosa, Medellín, Antioquia",6.244558,-75.5472171
26,Parque-Bosque de La Mansión,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Actividades

Senderismo
    Servicios

Columpios
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Se permiten perros",4.3,12.0,,Parque local,Accesible con silla de ruedas,"6 .,None",,Comuna Villa Hermosa Parques,,"Medellín, Villa Hermosa, Medellín, Antioquia",6.2573256,-75.5575778
27,Parque Recreativo La Ladera,"Información  Menores

Ideal para ir con niños",4.4,25.0,,Parque,,,,Comuna Villa Hermosa Parques,,"Calle 14 #52A-275, Guayabal, Medellín, Villa Hermosa, Medellín, Antioquia",6.2515792,-75.5535073
28,Morro chispas,"Reseñas
5
4
3
2
1
4,2
77 reseñas
  
Escribir una reseña
  

Ordenar
Todas
vista
4",4.2,77.0,,Parque,,"6 .,None",,Comuna Villa Hermosa Parques,,"Cra. 45b #65106 #65e- a, Medellín, Villa Hermosa, Medellín, Antioquia",6.2608736,-75.5567959
29,Comidas rápidas M&M,"Información  Opciones de servicio

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Qué ofrece

Comidas durante la madrugada
    Opciones del local

Cena
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,12.0,,Restaurante de comida rápida,,"6 .,None",,Comuna Villa Hermosa Comida rápida,300 7318770 ,"Cra. 27 #57-37, Medellín, Villa Hermosa, Medellín, Antioquia",6.2468759,-75.5477609
30,Comidas rápidas - Las Bastantonas.,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",,,,Restaurante,,,,Comuna Villa Hermosa Comida rápida,320 5673497 ,"Cl 66 #39A-66, Medellín, Villa Hermosa, Medellín, Antioquia",6.258749,-75.5522034
31,Comidas Rápidas NAN,"Información  Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Cerveza

Cócteles
    Opciones del local

Almuerzo

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos

Recomendable para ir en familia
    Pagos

Solo dinero en efectivo
    Menores

Ideal para ir con niños",4.5,2.0,,Restaurante,,,,Comuna Villa Hermosa Comida rápida,301 5813669 ,"Cra. 8a #56-54, Villa Lilian, Medellín, Villa Hermosa, Medellín, Antioquia",6.2352974,-75.5345348
32,Delicias De La Negra,"Información  Opciones de servicio

Retiros en la puerta

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",,,,Restaurante de comida rápida,,"3 .,12 pm.",,Comuna Villa Hermosa Comida rápida,,"Medellín, Villa Hermosa, Medellín, Antioquia",6.2521717,-75.5400433
33,Elpuntodelsabor51med,"Información  Opciones de servicio

Retiros en la puerta

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,1.0,,Restaurante de comida rápida,,"9 .,6 .",,Comuna Villa Hermosa Comida rápida,322 5852345 ,"Carrera 45c#64-79 ,Barrio villa hermosa, Medellín, Antioquia",6.2592472,-75.5579054
34,Esquina el victoria,"Información  Opciones de servicio

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Ambiente

Informal
    Público usual

Grupos",,,,Restaurante de comida rápida,,"12 pm.,6 pm.",,Comuna Villa Hermosa Comida rápida,301 3822828 ,"Cl. 53 #53 A 31, Medellín, Villa Hermosa, Medellín, Antioquia",6.2435925,-75.55285
35,COMIDAS BURGER BROASTER,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños
    Estacionamiento

Estacionamiento gratuito en la calle",3.7,20.0,,Restaurante,,"6 .,None",,Comuna Villa Hermosa Comida rápida,2147544 ,"Cra. 8a #57-17, Villa Lilian, Medellín, Villa Hermosa, Medellín, Antioquia",6.23582,-75.5340828
36,Mechi burguers,"Información  Opciones de servicio

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,1.0,,Restaurante de comida rápida,,,,Comuna Villa Hermosa Comida rápida,300 7338887 ,"Cra. 24b #56b-18 190, 13 de Noviembre, Medellín, Villa Hermosa, Medellín, Antioquia",6.2437826,-75.5441399
37,Miss Patatas,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",,,,Restaurante de comida rápida,,,,Comuna Villa Hermosa Comida rápida,304 4214422 ,"Cl 66 #40-26, Medellín, Villa Hermosa, Medellín, Antioquia",6.259101,-75.5525803
38,Comidas rapidas El compa,"Información  Opciones de servicio

Asientos al aire libre

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Comidas durante la madrugada
    Opciones del local

Cena

Espacio con asientos
    Ambiente

Informal
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Grupos

Recomendable para ir en familia
    Menores

Ideal para ir con niños",4.4,71.0,$ 10.000-20.000,Restaurante de comida rápida,,"6 pm.,6 .",,Comuna Villa Hermosa Comida rápida,319 5533567 ,"Cl 66 #36 a 23, Medellín, Villa Hermosa, Medellín, Antioquia",6.2573855,-75.5503042
39,Sali envenenadas,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",,,,Bar,,"6 .,9 .",https://instagram.com/sali_envenenadas?igshid=YmMyMTA2M2Y=,Comuna Villa Hermosa Bares,,"Cl. 66C #40-58, Medellín, Villa Hermosa, Medellín, Antioquia",6.25993,-75.5523266
40,Nnnnnnn,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",,,,Bar con música en directo,,,,Comuna Villa Hermosa Bares,312 2000022 ,"Cra. 8a #43-28, Villa Lilian, Medellín, Villa Hermosa, Medellín, Antioquia",6.2366714,-75.5339033
41,Llanos vip,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos",5.0,8.0,,Bar,,,,Comuna Villa Hermosa Bares,,"Cl. 58 #22b-101 a 22b-1, Medellín, Antioquia",6.2514747,-75.5449978
42,Licores La Terracita,"Información  Qué ofrece

Alcohol

Bebidas fuertes

Cerveza
    Servicios

Sanitario",5.0,1.0,,Bar,,,,Comuna Villa Hermosa Bares,,"Cl 66 #4012, Medellín, Villa Hermosa, Medellín, Antioquia",6.2589697,-75.5524769
43,LICORES LA FINKITA,"Información  Opciones de servicio

Consumo en el lugar
    Aspectos destacados

Deportes
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",4.2,60.0,$,Bar,,,,Comuna Villa Hermosa Bares,42848217 ,"63, Cra 39A #65A, Medellín, Antioquia",6.257397,-75.5522346
44,Donde Maquina Video Bar Salsamentaria,"Información  Qué ofrece

Alcohol

Bebidas fuertes

Cerveza
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos",5.0,1.0,,Bar,,,,Comuna Villa Hermosa Bares,,"Cra. 29a, Medellín, Villa Hermosa, Medellín, Antioquia",6.2499708,-75.5501145
45,LA SUPER ESQUINA,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",5.0,4.0,,Bar,,,,Comuna Villa Hermosa Bares,315 3196386 ,"Cl. 56a #24b-52, Medellín, Villa Hermosa, Medellín, Antioquia",6.2440339,-75.5448855
46,El Mirador De Chucho,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",4.1,54.0,,Bar,,"9 .,9 pm.",,Comuna Villa Hermosa Bares,,"Cl 59A #21ee-31 a 21ee-3, Medellín, Antioquia",6.2529389,-75.5453722
47,Rancho y Licores Mi Negocio,"Información  Qué ofrece

Alcohol

Bebidas fuertes

Cerveza
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",4.3,18.0,,Bar,,"12 pm.,6 .",,Comuna Villa Hermosa Bares,,"Cra. 40 #65A-17, Medellín, Villa Hermosa, Medellín, Antioquia",6.2578834,-75.5531662
48,Restaurante Bar la Ruana de Chave,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Aspectos destacados

Buenos cócteles

Música en vivo
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Cócteles

Vino
    Opciones del local

Desayunos

Almuerzo

Cena

Servicio de catering

Espacio con asientos
    Servicios

Sanitario

Tiene bar

Wi-Fi

Tiene Wi-Fi gratis
    Ambiente

Agradable

Informal
    Público usual

Grupos

Recomendable para ir en familia
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito
    Menores

Menú para niños",4.5,62.0,$ 30.000-40.000,Restaurante,,"12 pm.,9 pm.",,Comuna Villa Hermosa Bares,302 4511935 ,"Calle 66 #39A-75 050012, Medellín, Antioquia",6.2584755,-75.5522862
49,Discoteca Cachao,"Información  Opciones de servicio

Entrega a domicilio
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos",,,,Discoteca,,,,Comuna Villa Hermosa Discotecas,,"Cl. 57b #99A-16, Medellín, Villa Hermosa, Medellín, Antioquia",6.2498844,-75.5428438
50,El ventiadero discoteca eventos,"Información  Opciones de servicio

Consumo en el lugar

Entrega a domicilio
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable
    Público usual

Grupos",5.0,3.0,,Club nocturno,,,,Comuna Villa Hermosa Discotecas,321 8898607 ,"Cra. 25bb #111, Medellín, Villa Hermosa, Medellín, Antioquia",6.2473762,-75.5434663
51,Disco- Bar El Negro,"Información  Qué ofrece

Alcohol

Bebidas fuertes

Cerveza
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",5.0,1.0,,Discoteca,,"12 pm.,6 pm.",,Comuna Villa Hermosa Discotecas,,"Cra. 23 a #Calle56g-94, 13 de Noviembre, Medellín, Villa Hermosa, Medellín, Antioquia",6.2469044,-75.5426814
52,Mamba,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos",4.5,2.0,,Bar,,,,Comuna Villa Hermosa Discotecas,,"Villa Hermosa, Cra. 29a #59-01, Medellín, Villa Hermosa, Medellín, Antioquia",6.2503103,-75.5500321
53,Discoteca Viejos Verdes,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Consumo en el lugar

Entrega a domicilio

Para llevar
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.5,87.0,$$,Discoteca,No accesible con silla de ruedas,,,Comuna Villa Hermosa Discotecas,301 5631440 ,"Cl. 55 #4356, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2511056,-75.561557
54,Nassa Discoteca,"Información  Opciones de servicio

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.2,41.0,$$,Club nocturno,,"9 pm.,6 .",http://www.facebook.com/NassaDiscoteca,Comuna Villa Hermosa Discotecas,304 3613156 ,"Cl. 49 #29-35, Caicedo, Medellín, Buenos Aires, Medellín, Antioquia",6.240505,-75.5523994
55,Nnnnnnn,"Información  Opciones de servicio

Consumo en el lugar
    Qué ofrece

Alcohol

Cerveza

Comida
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",,,,Bar con música en directo,,,,Comuna Villa Hermosa Discotecas,312 2000022 ,"Cra. 8a #43-28, Villa Lilian, Medellín, Villa Hermosa, Medellín, Antioquia",6.2366714,-75.5339033
56,Bar Cosmopolitan,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Consumo en el lugar

Entrega a domicilio

Para llevar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Bebidas fuertes

Cerveza

Cócteles

Comida

Vino
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito",4.0,79.0,Más de $100 K,Club nocturno,No accesible con silla de ruedas,"6 pm.,6 .",,Comuna Villa Hermosa Discotecas,312 8729655 ,"Cl. 49B #28-53, Alejandro Echavarría, Medellín, Buenos Aires, Medellín, Antioquia",6.2402149,-75.5518276
57,Streaming plataform's V.R,"Información  Pagos

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,2.0,,Cine,,"3 pm.,6 pm.",,Comuna Villa Hermosa Cines,302 5715476 ,"Cl. 58 #30-34, Medellín, Villa Hermosa, Medellín, Antioquia",6.2491572,-75.550261
58,Videotienda Moviecity,"Información  Menores

Ideal para ir con niños",4.4,15.0,,Cine,,,https://moviecity07.wixsite.com/videotienda/series,Comuna Villa Hermosa Cines,45962138 ,"Av. 33 #5558, Hermosa Provincia, Bello, Antioquia",6.3415244,-75.5411134
59,Cinemas Procinal Terminal del Sur,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.3,974.0,,Cine,Accesible con silla de ruedas,"3 pm.,6 .",http://www.terminaldelsur.com/,Comuna Villa Hermosa Cines,43059701 ,"Entrada A La CL8B #8B-91, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2159528,-75.5868726
60,Cinemas Procinal Centro Comercial Aventura,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.5,5892.0,,Cine,Accesible con silla de ruedas,,http://www.procinal.com/,Comuna Villa Hermosa Cines,44442244 ,"#65- a, Cra. 55 #65172, Bombona II, Medellín, Antioquia",6.2638889,-75.5672222
61,Cine Colombia,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Aspectos destacados

Películas 3D
    Qué ofrece

Comida
    Servicios

Restaurante
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.6,12170.0,,Cine,Accesible con silla de ruedas,"12 pm.,6 .",https://www.cinecolombia.com/,Comuna Villa Hermosa Cines,,"Calle 30A # 82A-26 Centro Comercial Los Molinos, Medellín, Antioquia",6.2323639,-75.6035507
62,Siteatro,"Información  Servicios

Restaurante
    Menores

Ideal para ir con niños",4.9,25.0,,Teatro,,,https://m.facebook.com/siteatro.oficial,Comuna Villa Hermosa Teatros,,"Cra. 43 #61-22, Medellín, Villa Hermosa, Medellín, Antioquia",6.2551839,-75.55796
