,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
0,Restaurante El sazon de los Angeles,"Información  Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Café

Cerveza
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.1,29.0,$,Restaurante,,"6 .,6 pm.",,Comuna Villa Hermosa Restaurantes,301 3432111 ,"Cl. 52 #26-2 a 26-108, Medellín, Villa Hermosa, Medellín, Antioquia",6.2424416,-75.5487556
1,villa delicias,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",5.0,1.0,,Restaurante,,"12 pm.,3 pm.",,Comuna Villa Hermosa Restaurantes,12926839 ,"Cl 66 #39A-79, Medellín, Villa Hermosa, Medellín, Antioquia",6.2585742,-75.5522617
2,Restaurante y Cafetería Villahermosa,"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Café
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Postres
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",3.7,17.0,,Restaurante,,,,Comuna Villa Hermosa Restaurantes,42921301 ,"Cl. 63 #41-20, Medellín, Villa Hermosa, Medellín, Antioquia",6.2556887,-75.5559736
3,Restaurante Las Delicias,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Opciones del local

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,1.0,,Restaurante,,,,Comuna Villa Hermosa Restaurantes,,"Cra. 39 #65AA-24, Medellín, Villa Hermosa, Medellín, Antioquia",6.2567463,-75.5516152
4,Restaurante Villa Hermosa,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar",4.0,73.0,,Restaurante o cafetería,,,,Comuna Villa Hermosa Restaurantes,42543225 ,"12, Cl. 66C #39, Medellín, Antioquia",6.2589398,-75.5509033
5,Restaurante Almuerzos,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",5.0,1.0,,Restaurante,,,,Comuna Villa Hermosa Restaurantes,300 3162300 ,"Cl. 55 #42- 47 s, Medellín, Villa Hermosa, Medellín, Antioquia",6.256701,-75.5589292
6,Sazón Del Sinú,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,2.0,,Restaurante,,,,Comuna Villa Hermosa Restaurantes,,"Cl. 56, Medellín, Villa Hermosa, Medellín, Antioquia",6.2463931,-75.5519394
7,Comidas rápidas - Las Bastantonas.,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",,,,Restaurante,,,,Comuna Villa Hermosa Restaurantes,320 5673497 ,"Cl 66 #39A-66, Medellín, Villa Hermosa, Medellín, Antioquia",6.258749,-75.5522034
8,Restaurante En sus Manos,"Información  Opciones de servicio

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.8,25.0,,Restaurante,,,https://www.facebook.com/ensusmanosdomicilios/,Comuna Villa Hermosa Restaurantes,314 7371760 ,"Cl. 66C #53 # 40, Medellín, Villa Hermosa, Medellín, Antioquia",6.2597022,-75.5523928
9,Restaurante zuana (villa hermosa). Medellín Colombia,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Aspectos destacados

Asientos en la terraza
    Qué ofrece

Café
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Espacio con asientos
    Servicios

Sanitario

Sanitarios unisex
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.2,58.0,$ 10.000-20.000,Restaurante,Accesible con silla de ruedas,"9 .,6 pm.",,Comuna Villa Hermosa Restaurantes,305 3254773 ,"Cl 66 # 39 - 64, Medellín, Villa Hermosa, Medellín, Antioquia",6.2582243,-75.5514535
10,Hospedaje El Canto del Agua,"Información  
Desayuno

Estacionamiento gratuito

Accesible

Piscina

Se permiten mascotas

Restaurante
 ",4.6,43.0,,,,,https://www.instagram.com/elcantodelagua/,Comuna Villa Hermosa Hoteles,300 4851616 ,"RIO MELCOCHO /RÍO, COCORNÁ, Santo Domingo, Cocorná, Antioquia",5.9876456,-75.173335
11,Sierra de viboral adventures,"Información  
Wi-Fi gratis

Estacionamiento gratuito

Piscina

Se permiten mascotas

Gimnasio
 ",5.0,8.0,,,,,https://instagram.com/sierradeviboraladventures?igshid=YmMyMTA2M2Y=,Comuna Villa Hermosa Hoteles,322 5691944 ,"Casa en la montaña, 054037, Medellín, Antioquia",5.9698603,-75.2217824
12,Hostería El Sendero Cocorná,"Información  
Wi-Fi gratis

Desayuno pago

Estacionamiento gratuito

Accesible

Piscina al aire libre

Aire acondicionado

Se permiten mascotas

Servicio en la habitación

Restaurante

Transporte desde/hacia el aeropuerto

Jacuzzi

Spa

Gimnasio

Bar

Libre de humo
 ",4.4,602.0,,,,,https://www.hosteriaelsendero.com/hosteria-el-sendero,Comuna Villa Hermosa Hoteles,323 3283968 ,"Hostería EL SENDERO, Cocorná, Antioquia",6.0582526,-75.2004719
13,Hotel Plaza Centro Cocorná,"Información  
Wi-Fi gratis

Desayuno

Estacionamiento gratuito

Accesible

Piscina

Aire acondicionado

Se permiten mascotas

Apto para niños

Restaurante

Transporte desde/hacia el aeropuerto

Jacuzzi

Gimnasio

Libre de humo
 ",4.2,255.0,Hotel de 2 estrellas,,,,https://www.hotelplazacentro.net/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17565374917707773682,Comuna Villa Hermosa Hoteles,313 7541521 ,"Cra. 20 #19-56, Cocorná, Antioquia",6.0568207,-75.1853207
14,Cañón Dulce Melcocho,"Información  
Wi-Fi gratis

Desayuno pago

Estacionamiento gratuito

Accesible

Piscina

Aire acondicionado

Se permiten mascotas

Transporte desde/hacia el aeropuerto

Gimnasio
 ",4.0,53.0,,,,,https://linktr.ee/dulcemelcocho,Comuna Villa Hermosa Hoteles,315 3010594 ,"5,9349201, -75 #1427749, Cocorná, El Carmen de Viboral, Antioquia",5.934798,-75.1431115
